gene	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
CD2	Type 1 diabetes, definitions combined	T1D	4886	4.0461998050758626e-15	0.004132133518908724	1.755922072837244e-14	0.016953231089741623	0.9789146353913296
LTBP3	Fracture of forearm	ST19_FRACT_FOREA	3546	0.0	0.0038940458560550962	0.0	0.01732949032884587	0.9787764638151513
PTPRM	Cardiomyopathy	I9_CARDMYO	6844	0.0	0.010647547351483327	0.0	0.010658961799155747	0.9786934908493752
CDH2	Diabetic retinopathy (more control exclusions)	DM_RETINOPATHY_EXMORE	4884	0.0	0.0005896432771387539	0.0	0.020766654720246757	0.9786437020025082
TG	Autoimmune diseases	AUTOIMMUNE	6835	8.68435215940749e-213	0.000988331124404266	1.8797948164525064e-211	0.020414590236794917	0.9785970786387783
CFH	Other retinal disorders	H7_RETINALDISOTH	4143	7.556004915180077e-137	2.4507793543296306e-106	6.965330860680448e-33	0.021613564285672654	0.9783864357143202
ANXA11	Other Crohn's disease	CHRONOTH	6924	4.861935872056515e-271	0.00645521623059519	1.2210588557429354e-270	0.015233747599579787	0.9783110361698112
PRTN3	Sudden idiopathic hearing loss	H8_HL_IDIOP	6015	9.083824984458791e-124	0.009975805794471321	1.1612872750932417e-123	0.01177494265575989	0.9782492515497678
CTLA4	Other/unspecified rheumatoid arthritis	RHEUMA_NOS	4428	4.452845155069866e-67	0.0018554941563440252	5.027311935578492e-66	0.019970562412162756	0.9781739434314815
EPS8L2	Peritonsillar abscess	J10_PERITONSABSC	5379	1.0094176596047132e-127	0.012020071707699274	9.069835080638751e-128	0.009822135525757279	0.9781577927665411
ACE	Alzheimer’s disease, wide definition	G6_AD_WIDE	3675	1.273183664235733e-13	0.010258186120302396	1.6089004309162783e-13	0.011985337956553366	0.9777564759228554
FES	Hypertension	I9_HYPTENS	5936	0.0	1.3069672728308882e-29	0.0	0.022336730100593297	0.9776632698994542
EFNA1	Antihypertensive medication - note that there are other indications	RX_ANTIHYP	3315	3.82609899139236e-09	0.013405553518647776	2.8698601498775184e-09	0.009077650083075579	0.977516789702318
PLAU	Sicca syndrome [Sjögren]	M13_SJOGREN	3997	1.3507838823574477e-163	0.004231686035856361	6.218885482868128e-163	0.018505032295116037	0.9772632816690164
FES	Hypertension, essential	I9_HYPTENSESS	5936	0.0	5.541059758037826e-27	0.0	0.02287830172475379	0.977121698275244
CFH	Moderate visual impairment, binocular	H7_MODVISIMPBINOC	4143	7.785594193080087e-50	2.5247241413117486e-19	7.373352333893545e-33	0.02293335069086532	0.9770666493091379
PLAU	Atherosclerosis, excluding cerebral and coronary sclerosis	I9_ATHSCLE	3997	4.563276017900257e-165	0.00014292487819768471	7.905727311513628e-163	0.023785198505229317	0.9760718766165781
SATB1	Atopic dermatitis	L12_ATOPIC	4323	2.56298717289184e-88	3.5149145380275013e-07	1.8184785740099206e-83	0.0239628190668485	0.9760368294417103
