olink_id	gene_symbol	protein_name	hpa_protein_class	hpa_bio_process	hpa_mol_function	hpa_disease	rna_blood_cell_specificity	rna_blood_cell_specific_ntpm	rna_blood_lineage_specificity	secretome_location	rna_tissue_specificity	msigdb_c7_immune_gene	cytokine	interleukin	interferon_axis	TNF_axis	chemokine	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	inflammation_immune_annotated	immune_score	is_plasma_immune	immune_class
957	ERBB4	Receptor tyrosine-protein kinase erbB-4	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Apoptosis, Lactation, Transcription, Transcription regulation	Activator, Developmental protein, Kinase, Receptor, Transferase, Tyrosine-protein kinase	Amyotrophic lateral sclerosis, Cancer-related genes, Disease variant, FDA approved drug targets, Neurodegeneration	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
958	ERBIN	Erbin	Predicted intracellular proteins				Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
959	ERC2	ERC protein 2	Plasma proteins, Predicted intracellular proteins				Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
960	ERCC1	DNA excision repair protein ERCC-1	Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins	DNA damage, DNA repair	DNA-binding	Cancer-related genes, Cataract	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
961	EREG	Proepiregulin	Human disease related genes, Predicted membrane proteins, Predicted secreted proteins	Angiogenesis, Differentiation	Developmental protein, Growth factor, Mitogen		Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
962	ERI1	3'-5' exoribonuclease 1	Predicted intracellular proteins	RNA-mediated gene silencing, rRNA processing	Exonuclease, Hydrolase, Nuclease, RNA-binding	Disease variant, Dwarfism, Intellectual disability	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
963	ERMAP	Erythroid membrane-associated protein	Blood group antigen proteins, Predicted intracellular proteins, Predicted membrane proteins		Blood group antigen		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1	1	0	Other immune-annotated
964	ERN1	Serine/threonine-protein kinase/endoribonuclease IRE1	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Apoptosis, Transcription, Transcription regulation, Unfolded protein response	Hydrolase, Kinase, Multifunctional enzyme, Serine/threonine-protein kinase, Transferase		Immune cell enhanced	basophil: 17.9	Group enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
965	ERP29	Endoplasmic reticulum resident protein 29	Plasma proteins, Predicted intracellular proteins				Low immune cell specificity		Low lineage specificity	Intracellular and membrane	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
966	ERP44	Endoplasmic reticulum resident protein 44	Plasma proteins, Predicted intracellular proteins	Stress response	Chaperone		Low immune cell specificity		Low lineage specificity	Intracellular and membrane	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
967	ERVV-1	Endogenous retrovirus group V member 1 Env polyprotein	Predicted membrane proteins				Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
968	ESAM	Endothelial cell-selective adhesion molecule	Plasma proteins, Predicted membrane proteins	Cell adhesion		Disease variant, Intellectual disability	Immune cell enhanced	basophil: 8.2;naive B-cell: 7.5	Group enriched		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte;B-cell	0	0	2	1	Immune-cell-enriched
969	ESM1	Endothelial cell-specific molecule 1	Predicted secreted proteins	Angiogenesis			Immune cell enhanced	NK-cell: 1.4	Low lineage specificity	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NK-cell	1	0	2	1	Immune-cell-enriched
970	ESPL1	Separin	Enzymes, Essential proteins, Predicted intracellular proteins, Predicted membrane proteins	Chromosome partition	Hydrolase, Protease, Thiol protease		Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
971	ESR1	Estrogen receptor	Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Transcription, Transcription regulation	Activator, DNA-binding, Receptor	Cancer-related genes, Disease variant, FDA approved drug targets, Osteoporosis	Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	Soluble receptor
972	ESYT2	Extended synaptotagmin-2	Plasma proteins, Predicted membrane proteins, Transporters	Endocytosis, Lipid transport, Transport			Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
973	EVI2B	Protein EVI2B	CD markers, Predicted membrane proteins			Proto-oncogene	Immune cell enhanced	neutrophil: 1371.1	Group enriched		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
974	EVI5	Ecotropic viral integration site 5 protein homolog	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Cell cycle, Cell division			Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
975	EVPL	Envoplakin	Predicted intracellular proteins	Keratinization			Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
976	EXOSC10	Exosome component 10	Essential proteins, Predicted intracellular proteins	DNA damage, DNA repair, Nonsense-mediated mRNA decay, rRNA processing	Exonuclease, Hydrolase, Nuclease, RNA-binding		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
977	EXTL1	Exostosin-like 1	Enzymes, Metabolic proteins, Predicted intracellular proteins		Glycosyltransferase, Transferase		Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
978	EZR	Ezrin	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Cell shape		Cancer-related genes	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
979	F10	Coagulation factor X	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins	Blood coagulation, Hemostasis	Hydrolase, Protease, Serine protease	Disease variant, FDA approved drug targets	Not detected in immune cells		Not detected	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0		1	0	1	0	Non-immune
980	F11	Coagulation factor XI	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Blood coagulation, Hemostasis	Heparin-binding, Hydrolase, Protease, Serine protease	Disease variant, FDA approved drug targets	Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0		1	0	1	0	Non-immune
981	F11R	Junctional adhesion molecule A	CD markers, Plasma proteins, Predicted membrane proteins	Host-virus interaction	Host cell receptor for virus entry, Receptor		Group enriched	eosinophil: 166.2;neutrophil: 114.1	Lineage enriched		Low tissue specificity	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Granulocyte	0	0	3	1	Immune-cell-enriched
982	F12	Coagulation factor XII	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins	Blood coagulation, Fibrinolysis, Hemostasis	Hydrolase, Protease, Serine protease	Disease variant, FDA approved drug targets	Immune cell enhanced	eosinophil: 1.7	Lineage enhanced	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Granulocyte	1	0	3	1	Immune-cell-enriched
983	F13B	Coagulation factor XIII B chain	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Blood coagulation, Hemostasis		Cancer-related genes, Disease variant, FDA approved drug targets	Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0		1	0	1	0	Non-immune
984	F2	Prothrombin	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Acute phase, Blood coagulation, Hemostasis	Hydrolase, Protease, Serine protease	Cancer-related genes, Disease variant, FDA approved drug targets, Thrombophilia	Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0		1	0	1	0	Non-immune
985	F2R	Proteinase-activated receptor 1	FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Blood coagulation, Hemostasis	G-protein coupled receptor, Receptor, Transducer	FDA approved drug targets	Immune cell enhanced	gdT-cell: 25.5	Group enriched		Tissue enhanced	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	T-cell	0	0	3	1	Immune-cell-enriched
986	F3	Tissue factor	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Blood coagulation, Hemostasis		Cancer-related genes, FDA approved drug targets	Not detected in immune cells		Not detected	Secreted to blood	Low tissue specificity	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0		1	0	1	0	Non-immune
987	F7	Coagulation factor VII	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins	Blood coagulation, Hemostasis	Hydrolase, Protease, Serine protease	Disease variant, FDA approved drug targets	Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0		1	0	1	0	Non-immune
988	F9	Coagulation factor IX	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins	Blood coagulation, Hemostasis	Hydrolase, Protease, Serine protease	Disease variant, FDA approved drug targets, Hemophilia, Thrombophilia	Not detected in immune cells		Not detected	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0		1	0	1	0	Non-immune
989	FABP1	Fatty acid-binding protein, liver	Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Transport		Cancer-related genes	Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
990	FABP2	Fatty acid-binding protein, intestinal	Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Transport		Cancer-related genes	Group enriched	basophil: 1.6;neutrophil: 4.2	Lineage enriched		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
991	FABP3	Fatty acid-binding protein, heart	Candidate cardiovascular disease genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Transport			Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
992	FABP4	Fatty acid-binding protein, adipocyte	Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins	Transport		Cancer-related genes	Not detected in immune cells		Not detected		Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
993	FABP5	Fatty acid-binding protein 5	Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters	Lipid transport, Transport		Cancer-related genes	Low immune cell specificity		Low lineage specificity	Intracellular and membrane	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
994	FABP6	Gastrotropin	Metabolic proteins, Predicted intracellular proteins	Lipid transport, Transport			Not detected in immune cells		Not detected	Intracellular and membrane	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
995	FABP9	Fatty acid-binding protein 9	Metabolic proteins, Predicted intracellular proteins	Transport			Not detected in immune cells		Not detected		Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
996	FADD	FAS-associated death domain protein	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Apoptosis, Host-virus interaction, Immunity, Innate immunity		Cancer-related genes, Disease variant	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1	1	0	Other immune-annotated
997	FAM13A	Protein FAM13A	Plasma proteins, Predicted intracellular proteins		GTPase activation		Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
998	FAM171A2	Protein FAM171A2	Predicted membrane proteins				Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
999	FAM171B	Protein FAM171B	Predicted membrane proteins				Not detected in immune cells		Not detected		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1000	FAM172A	Cotranscriptional regulator FAM172A	Predicted intracellular proteins	mRNA processing, mRNA splicing			Low immune cell specificity		Low lineage specificity	Intracellular and membrane	Low tissue specificity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1001	FAM20A	Pseudokinase FAM20A	Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Biomineralization		Amelogenesis imperfecta, Disease variant	Not detected in immune cells		Not detected	Secreted in other tissues	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1002	FAM3B	Protein FAM3B	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Apoptosis	Cytokine		Immune cell enhanced	eosinophil: 1.4;neutrophil: 2.8	Lineage enriched	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	0	2	1	Immune-cell-enriched
1003	FAM3C	Protein FAM3C	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		Developmental protein	Oncogene	Group enriched	memory B-cell: 22.6;naive B-cell: 20.1	Lineage enriched	Secreted in other tissues	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	B-cell	1	0	2	1	Immune-cell-enriched
1004	FAM3D	Protein FAM3D	Predicted intracellular proteins, Predicted secreted proteins				Immune cell enhanced	neutrophil: 3.7	Lineage enhanced	Secreted to digestive system	Group enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	0	2	1	Immune-cell-enriched
1005	FAP	Prolyl endopeptidase FAP	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Angiogenesis, Apoptosis, Cell adhesion	Hydrolase, Protease, Serine protease	Cancer-related genes	Not detected in immune cells		Not detected	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	Non-immune
1006	FARSA	Phenylalanine--tRNA ligase alpha subunit	Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins	Protein biosynthesis	Aminoacyl-tRNA synthetase, Ligase	Disease variant	Low immune cell specificity		Low lineage specificity		Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	Non-immune
1007	FAS	Tumor necrosis factor receptor superfamily member 6	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Apoptosis	Calmodulin-binding, Receptor	Cancer-related genes, Disease variant	Immune cell enhanced	neutrophil: 101.1	Group enriched	Secreted to blood	Low tissue specificity	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	Granulocyte	1	0	2	1	Immune-cell-enriched
1008	FASLG	Tumor necrosis factor ligand superfamily member 6	Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins, Transporters	Apoptosis, Transcription, Transcription regulation	Cytokine, Repressor	Cancer-related genes	Immune cell enhanced	gdT-cell: 58.2	Group enriched	Secreted to blood	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	1	0	2	1	Immune-cell-enriched
1009	FBLN2	Fibulin-2	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins				Immune cell enhanced	myeloid DC: 6.7;naive CD8 T-cell: 3.7	Low lineage specificity	Secreted to extracellular matrix	Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;T-cell;Dendritic	1	0	2	1	Immune-cell-enriched
1010	FBN2	Fibrillin-2	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins		Hormone	Cancer-related genes, Disease variant	Immune cell enhanced	non-classical monocyte: 2.2	Lineage enriched	Secreted to blood	Tissue enriched	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	1	0	2	1	Immune-cell-enriched
1011	FBP1	Fructose-1,6-bisphosphatase 1	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Carbohydrate metabolism, Gluconeogenesis	Allosteric enzyme, Hydrolase	Disease variant	Immune cell enhanced	eosinophil: 403.7	Low lineage specificity		Tissue enhanced	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	0	2	1	Immune-cell-enriched
